Transaction_ID,Date,Product_Name,Category,Quantity_Sold,Unit_Price,Total_Amount,Day_of_Week,Month,Season,Year,Supplier,Supplier_Location
TXN-10642,12/03/2023,Pistachios,Nuts and Seeds,2,134.82,269.65,Sunday,March,Summer,2023,Shivneri Naturals,"Shivapur (18.4497°N, 73.8503°E)"
TXN-10700,06/08/2023,Peaches,Fruits,2,157.92,315.84,Sunday,August,Monsoon,2023,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-10226,22/03/2023,Lemons,Fruits,2,105.82,211.64,Wednesday,March,Summer,2023,Sahyadri Farms,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-20697,13/06/2024,Oregano,Spices and Herbs,3,325.28,975.84,Thursday,June,Monsoon,2024,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20010,04/02/2024,Lemons,Fruits,1,272.86,272.86,Sunday,February,Winter,2024,FreshLeaf Agro,"Pimpri (18.6167°N, 73.8000°E)"
TXN-20572,27/01/2024,Potatoes,Vegetables,1,161.13,161.13,Saturday,January,Winter,2024,Krishi Organic,"Uruli Devachi (18.4862°N, 74.1325°E → 18.5204°N, 73.8567°E)"
TXN-10776,13/10/2023,Apricots,Fruits,4,39.71,158.83,Friday,October,Winter,2023,Krishi Organic,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-20730,12/08/2024,Radish,Vegetables,4,176.53,706.12,Monday,August,Monsoon,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-30826,23/01/2025,Cabbage,Vegetables,2,120.94,241.88,Thursday,January,Winter,2025,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-30228,08/06/2025,Celery,Vegetables,2,195.41,390.82,Sunday,June,Summer,2025,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-30794,06/04/2025,Mint,Vegetables,1,164.58,164.58,Sunday,April,Summer,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-10464,03/11/2023,Fennel,Vegetables,4,39.45,157.79,Friday,November,Winter,2023,Ecoville,"Mahalunge (18.5733°N, 73.7339°E)"
TXN-30651,01/12/2025,Snow Peas,Vegetables,2,38.16,76.32,Monday,December,Winter,2025,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
TXN-20093,29/11/2024,Guava,Fruits,2,136.71,273.42,Friday,November,Winter,2024,ANNAPURNA,"Manjari Budruk (18.4497°N, 74.0253°E → Market)"
TXN-20271,18/08/2024,Macadamia Nuts,Nuts and Seeds,2,767.73,1535.46,Sunday,August,Monsoon,2024,Sahyadri Farms,"Baner (18.5615°N, 73.7810°E)"
TXN-30923,20/03/2025,Coriander,Vegetables,2,43.37,86.74,Thursday,March,Summer,2025,Vrundavan Farms,"Ghera Sinhagad (18.3664°N, 73.7558°E)"
TXN-20580,19/12/2024,Walnuts,Nuts and Seeds,3,456.59,1369.77,Thursday,December,Winter,2024,Urban Roots,"Shivapur (18.4497°N, 73.8503°E)"
TXN-20207,24/03/2024,Apricots,Fruits,2,245.48,490.96,Sunday,March,Summer,2024,Shivneri Naturals,"Shivaji Nagar Gavthan (18.492114° N, 73.820129° E)"
